"id","vcid","drawing.zoom","draw.community.lat","draw.community.lon"
369035,1,12,49.265127,-122.959243
295008,1,16,44.624136,-63.455804
295050,32398,17,46.5298919,-84.274268
296020,32407,12,43.007961,-81.253789
290031,32512,16,46.6231549,-81.017065
290001,32665,17,46.484383,-80.992969
296002,32877,16,43.5759273,-80.2206723
290002,33108,12,43.6696529,-79.752809
292001,33193,12,49.155429,-123.172442
319027,33246,14,43.333754,-79.893559
291008,33483,14,51.71859,-98.688463
291002,33504,12,45.3857,-75.72698
292025,33600,10,45.4505679,-75.543217
294019,33975,12,45.979935,-66.640967
451079,34022,12,42.9760212,-81.0395821
290020,34307,10,50.106108,-107.733901
289033,34495,12,42.7065545,-80.5233668
292021,34736,10,44.5492818,-80.4623169
295022,34781,10,43.6542599,-79.3606359
290012,34783,17,47.5588369,-52.732915
295019,35026,17,42.982284,-81.229868
295046,35040,12,43.456831,-80.478018
296048,35066,14,43.251453,-79.9379809
290028,35139,12,43.648501,-79.545657
296016,35255,12,43.525434,-79.835235
289049,35396,12,44.889061,-76.238083
295029,35408,17,43.649357,-79.494997
298027,35411,12,45.321091,-75.710926
289056,35506,10,43.6426575,-79.4069977
304030,35519,10,45.395734,-75.675004
298017,35540,10,45.340565,-75.793011
296039,35558,12,46.545299,-80.902179
295063,35575,10,44.219856,-76.641313
295016,35606,10,43.609755,-79.491527
295030,35629,12,42.384966,-82.189475
296040,35653,12,49.295454,-109.519923
289009,35760,14,45.29817,-76.021993
298004,35893,10,45.416932,-75.7051819
381016,35904,12,44.667902,-63.606566
294056,35953,16,62.4494895,-114.3766652
290047,35995,14,60.71316,-135.08635
291046,36013,12,43.259225,-79.883246
291047,36014,12,44.389789,-79.718196
292027,36053,10,45.225225,-75.686851
294026,36108,10,43.666354,-79.416744
290023,36108,17,NA,NA
290030,36145,14,50.243722,-119.410342
296005,36203,17,48.815596,-123.612077
290024,36265,14,45.413305,-75.686291
294008,36457,14,58.8134001,-122.688829
302001,36488,10,44.307875,-78.357034
294033,36540,17,46.199193,-80.306747
294036,36573,10,44.2457133,-79.4721463
292007,36622,16,48.757646,-91.620516
292035,36806,10,46.473275,-81.015732
294051,36829,16,51.058078,-114.111784
296011,36875,16,46.079949,-60.202174
292026,36903,12,45.490996,-75.49187
350009,36915,16,44.135612,-81.141154
289034,36958,10,53.526207,-114.006509
295051,36965,16,48.365245,-89.294246
292034,37047,10,45.345508,-75.775487
292018,37071,16,46.182346,-82.901442
291011,37173,17,51.169168,-116.781558
292009,37448,17,45.7581253,-75.9678732
290006,37494,17,44.933136,-76.248318
289014,37619,17,45.958915,-66.65128
485092,37805,16,53.5364966,-113.4968428
290014,37849,16,43.657904,-79.526341
289020,37868,17,45.908979,-82.259843
289022,37899,14,45.3624848,-75.6436491
298025,37902,14,49.7833029,-92.833564
304019,38043,10,43.689594,-79.309928
290005,38179,12,43.51627,-80.242734
290026,38388,10,53.53025,-113.455324
